,patient_id,name,dob,phone,address
194,pat11756798,Lili Prastuti,1998-06-23,+62 (068) 907 5225,"Gang Kutai No. 234
Metro, Kalimantan Timur 45206"
195,pat47512085,"Jamalia Mahendra, M.Kom.",1980-06-01,(0796) 944-2126,"Gang Sadang Serang No. 62
Cirebon, ST 75923"
196,pat58647240,Asmianto Rahimah,1986-05-16,+62 (04) 987 3806,"Gg. Merdeka No. 5
Kota Administrasi Jakarta Selatan, SG 70559"
197,pat47248182,"Dt. Usman Nurdiyanti, M.Farm",1985-03-20,(0993) 303 7113,"Gg. K.H. Wahid Hasyim No. 271
Magelang, Sulawesi Tenggara 27138"
198,pat13170417,Shania Prastuti,2000-11-06,+62-0089-287-9197,"Gang Siliwangi No. 208
Tanjungpinang, SB 16147"
199,pat39491428,"Dr. Simon Habibi, S.I.Kom",1994-12-22,+62-393-978-7542,"Gg. Jamika No. 937
Purwokerto, Sulawesi Barat 41630"
200,pat21491979,Drs. Ade Waskita,1996-07-05,+62-302-365-4694,"Gg. Rajawali Barat No. 94
Blitar, Bengkulu 83021"
201,pat80434351,Hendri Marbun,1997-11-10,+62 (654) 651 7371,"Gang Surapati No. 01
Denpasar, Aceh 27408"
202,pat40363349,Kiandra Sinaga,1980-04-14,+62 (31) 638 0292,"Jl. Jayawijaya No. 59
Banjarmasin, Kalimantan Selatan 64543"
203,pat77911117,Omar Simbolon,1985-08-12,+62 (0660) 196-1199,"Jl. Medokan Ayu No. 9
Ternate, Aceh 06699"
204,pat92271494,"Legawa Oktaviani, S.Psi",1984-01-01,+62 (022) 792 1851,"Gg. Setiabudhi No. 884
Kotamobagu, JT 84888"
205,pat32050752,R. Prasetyo Zulaika,1987-07-06,+62 (397) 036 6182,"Gg. Raya Ujungberung No. 885
Surakarta, Nusa Tenggara Barat 74232"
206,pat26436043,Tari Aryani,1997-05-23,(0341) 436 6263,"Jl. Lembong No. 13
Lubuklinggau, SR 36709"
207,pat76982033,Hasta Pangestu,1999-08-07,0829872402,"Jalan Bangka Raya No. 97
Batam, LA 59881"
208,pat23125421,"Lukita Suwarno, S.Pt",1983-02-01,+62 (292) 651-8618,"Jalan Gardujati No. 61
Cirebon, Jawa Barat 01305"
209,pat84038500,Suci Hassanah,1982-06-22,+62 (070) 556-4444,"Jl. Raya Ujungberung No. 834
Bekasi, SR 13517"
210,pat64488646,Restu Halimah,1982-04-29,+62-99-131-1110,"Jl. Bangka Raya No. 572
Serang, PB 17695"
211,pat80248019,"Uli Ramadan, M.Kom.",1986-01-26,+62 (52) 968 2841,"Gg. Kebonjati No. 4
Ternate, YO 57459"
212,pat04914037,Talia Sihotang,1992-09-24,081 483 6943,"Jl. Sukajadi No. 83
Sorong, Kalimantan Utara 18990"
213,pat09513839,"Luis Wahyudin, S.Farm",1981-08-25,+62 (0598) 060 9574,"Gang Cempaka No. 71
Payakumbuh, JI 72550"
214,pat61704794,Okto Hariyah,1987-07-17,+62 (08) 467 6719,"Gg. Pacuan Kuda No. 40
Serang, SU 85131"
215,pat00683579,Timbul Kuswoyo,1989-02-10,+62 (029) 079-8279,"Gg. Pasirkoja No. 3
Bekasi, KS 82134"
216,pat43706945,Tgk. Natalia Mustofa,1999-02-19,+62 (471) 505 7688,"Gang Cihampelas No. 309
Malang, Kalimantan Selatan 44766"
217,pat76996993,Cakrajiya Fujiati,2000-10-08,+62 (0636) 956 6597,"Jalan Waringin No. 19
Banjarbaru, PB 05042"
218,pat32727937,Gasti Suryono,1993-06-01,+62 (075) 780 9975,"Gg. Cikutra Barat No. 32
Surakarta, Jawa Timur 55370"
219,pat55812917,R. Farhunnisa Sihombing,1996-06-26,0893759578,"Gang Cikutra Barat No. 13
Padang, YO 37225"
220,pat24051255,Cut Humaira Rahmawati,1980-12-31,(0249) 816-0548,"Jl. Sadang Serang No. 525
Yogyakarta, RI 41554"
221,pat82664770,"Puti Rahmi Susanti, M.Farm",1997-08-22,082 894 0764,"Gg. Cihampelas No. 6
Pagaralam, AC 54576"
222,pat37403942,Septi Budiman,1992-10-03,+62-0364-793-4360,"Gang Medokan Ayu No. 17
Mataram, RI 53328"
223,pat87693683,"drg. Ismail Wibowo, S.Psi",1996-06-01,+62 (0664) 059 3463,"Gg. Pasirkoja No. 77
Padang Sidempuan, Bengkulu 12146"
224,pat14371622,"R. Uchita Zulkarnain, S.Gz",1986-07-19,+62 (0499) 379 8259,"Jl. Kendalsari No. 238
Kupang, NT 13339"
225,pat12798964,Puti Elisa Pranowo,1991-05-01,(0584) 274 9003,"Jl. Moch. Ramdan No. 1
Cirebon, ST 63558"
226,pat47740778,Vivi Mandala,1983-02-10,+62 (0728) 428-9764,"Jalan Dipatiukur No. 410
Kupang, SS 93724"
227,pat19372860,Tania Kuswoyo,1987-12-21,+62-053-698-4612,"Jl. Joyoboyo No. 98
Bukittinggi, SU 06352"
228,pat43592258,"Puti Uli Nababan, S.Psi",1988-07-28,+62 (067) 687 8774,"Gang HOS. Cokroaminoto No. 035
Tasikmalaya, KB 23867"
229,pat04636984,"Sutan Sabar Yulianti, M.M.",1991-06-07,+62 (0569) 438-7407,"Jl. Ciumbuleuit No. 14
Palopo, KT 38979"
230,pat34842836,Luis Puspita,1985-06-13,(043) 964-5030,"Jl. Ahmad Yani No. 340
Singkawang, ST 43945"
231,pat98967537,Kairav Andriani,1999-04-03,(012) 800 6982,"Gg. HOS. Cokroaminoto No. 0
Malang, NB 33348"
232,pat98605255,Dinda Setiawan,1992-11-14,+62-022-677-4666,"Gang Cihampelas No. 07
Ternate, BT 82180"
233,pat12662562,"Kartika Wulandari, S.E.",1982-08-05,0874442595,"Gg. Gegerkalong Hilir No. 6
Pekalongan, KT 13984"
234,pat80916529,"Ir. Karen Kusmawati, S.E.I",1986-09-08,+62-095-728-7556,"Gang Ciwastra No. 4
Tanjungpinang, SU 36884"
235,pat86590389,Daniswara Hastuti,1995-03-18,(0650) 340-2322,"Jalan Jamika No. 4
Padangpanjang, Sulawesi Barat 92753"
236,pat60882349,Eman Usada,1997-05-19,+62 (0697) 754 7193,"Jl. Tebet Barat Dalam No. 623
Payakumbuh, JB 17051"
237,pat58471722,Sari Marpaung,1983-08-15,+62 (098) 354-3756,"Jl. R.E Martadinata No. 59
Mataram, LA 49101"
238,pat91944412,"Hafshah Aryani, M.M.",1981-11-22,+62 (089) 030 9167,"Jl. Soekarno Hatta No. 74
Cimahi, Kalimantan Selatan 36693"
239,pat17749671,Karsa Prasasta,1992-02-14,+62 (443) 622-8998,"Gg. Suniaraja No. 569
Jayapura, BB 47245"
240,pat87472592,Kasusra Waluyo,1994-03-18,+62 (0361) 594-1195,"Gang Jend. A. Yani No. 20
Tanjungbalai, YO 84620"
241,pat12855544,Usyi Zulkarnain,1982-08-02,(006) 387-6399,"Jl. Moch. Toha No. 2
Surakarta, Kalimantan Utara 70470"
242,pat83320538,Putri Wasita,1983-03-02,+62-074-082-0191,"Gg. Pasirkoja No. 5
Sawahlunto, Kalimantan Barat 06856"
243,pat53420138,"Kezia Halim, S.T.",1994-03-17,081 362 0735,"Jalan Suryakencana No. 398
Ternate, Nusa Tenggara Barat 55549"
244,pat48590259,R.A. Rini Saefullah,1984-03-23,(0951) 319-4686,"Jalan Cikutra Barat No. 579
Metro, Lampung 46514"
245,pat90973222,Salwa Yuliarti,1981-01-04,+62 (867) 204 0027,"Jalan Kiaracondong No. 04
Bukittinggi, Bali 63273"
246,pat66671954,Ghaliyati Nababan,1990-08-21,(0308) 430 5171,"Jalan Jakarta No. 7
Kota Administrasi Jakarta Utara, Sumatera Selatan 51604"
247,pat57087290,Zamira Thamrin,1992-03-13,+62 (0400) 819 6122,"Gg. Cikutra Barat No. 254
Ambon, Kalimantan Tengah 13537"
248,pat55030953,Jumari Nasyiah,1983-11-17,+62 (0662) 217-9241,"Jalan Rawamangun No. 037
Mataram, Kalimantan Timur 79906"
249,pat57516301,Tgk. Kamila Mustofa,1998-02-07,(0607) 660 1457,"Gang Suryakencana No. 570
Binjai, BA 04707"
250,pat71012995,Devi Najmudin,1981-09-02,+62 (223) 947-2464,"Jalan Rungkut Industri No. 2
Sawahlunto, Nusa Tenggara Timur 46121"
251,pat29224111,"Kunthara Maryadi, S.Pd",1992-05-03,(0689) 157-8941,"Jl. Gedebage Selatan No. 91
Jambi, Papua Barat 86255"
252,pat22382528,Anita Nuraini,1990-11-29,+62 (554) 244 0483,"Gang Rumah Sakit No. 3
Sibolga, Papua Barat 19433"
253,pat01817287,"Ir. Widya Handayani, S.Psi",1982-12-12,+62-63-468-4935,"Jalan Merdeka No. 908
Cirebon, KS 70972"
254,pat56882803,Diah Usada,1999-02-03,+62 (0802) 919-1949,"Jl. Raya Setiabudhi No. 7
Meulaboh, YO 15465"
255,pat92936393,Puti Suci Manullang,1984-02-06,+62 (374) 081-4907,"Jalan Ahmad Yani No. 3
Singkawang, Maluku 68875"
256,pat22107893,Hilda Setiawan,1990-07-15,(030) 923 1798,"Gg. Siliwangi No. 081
Salatiga, NB 87923"
257,pat10201602,Hilda Hakim,1989-09-13,+62-0815-026-7009,"Jalan Ir. H. Djuanda No. 4
Ternate, SU 84449"
258,pat03733448,Amelia Waskita,1995-03-16,(0027) 463 5682,"Jalan Pasir Koja No. 8
Depok, Kalimantan Barat 51167"
259,pat23147065,"Bagya Dongoran, M.Farm",1983-04-04,+62 (0264) 598 5047,"Jl. Ir. H. Djuanda No. 788
Tanjungpinang, BA 20734"
260,pat57220116,Hadi Widodo,1996-04-21,+62-0883-725-1599,"Jl. Jamika No. 997
Jayapura, Sulawesi Tengah 51191"
261,pat28597100,Samiah Irawan,1983-02-25,0858001012,"Gang Cikutra Timur No. 63
Pagaralam, Papua Barat 74468"
262,pat50835652,"Nalar Kusmawati, S.Kom",1989-10-16,+62 (0024) 375 8019,"Gang R.E Martadinata No. 0
Meulaboh, JT 15067"
263,pat88714806,"Michelle Hutagalung, M.Farm",1994-12-21,+62-070-928-2771,"Jl. Pasirkoja No. 51
Sibolga, Kalimantan Tengah 13788"
264,pat71421278,drg. Tiara Rahayu,1995-11-26,+62-0632-440-4009,"Gg. Rajawali Barat No. 5
Batam, AC 66270"
265,pat77869401,Kasiyah Ardianto,1986-04-25,+62-002-713-2242,"Gg. Setiabudhi No. 0
Blitar, Sumatera Selatan 28941"
266,pat05036967,Prakosa Permata,1980-09-11,+62 (0262) 727 8518,"Jl. Cikapayang No. 21
Serang, Sulawesi Selatan 26797"
267,pat59527176,drg. Salsabila Pratama,1982-09-12,0848103095,"Gg. Tebet Barat Dalam No. 915
Pagaralam, Bengkulu 05005"
268,pat00021555,Tari Hartati,1986-09-18,+62 (09) 978-1798,"Jalan W.R. Supratman No. 8
Denpasar, SS 44204"
269,pat19546322,"Cut Puspa Uyainah, S.Pt",1989-08-27,+62 (17) 633 0902,"Gang Veteran No. 31
Salatiga, DKI Jakarta 22650"
270,pat60642318,Gawati Hartati,1997-09-19,+62 (36) 440-5552,"Gg. Kutai No. 6
Semarang, Sulawesi Selatan 27225"
271,pat14424342,Gading Iswahyudi,1995-12-15,+62-31-014-0180,"Gang Indragiri No. 9
Sibolga, KS 05302"
272,pat87968774,Dinda Rahimah,1988-02-01,+62-29-947-1812,"Gang Peta No. 8
Tasikmalaya, Kalimantan Utara 33217"
273,pat77876324,Tami Hidayanto,1998-09-21,+62-167-608-2483,"Jalan Kutisari Selatan No. 711
Banjarmasin, Kalimantan Barat 53161"
274,pat71324951,"drg. Oskar Pranowo, M.M.",1997-01-29,+62 (0810) 265 7034,"Gang Otto Iskandardinata No. 72
Cimahi, SU 23102"
275,pat41027561,Xanana Thamrin,1998-04-05,+62 (018) 855 9465,"Gang Jamika No. 3
Jambi, Kalimantan Utara 28210"
276,pat62094641,"Salimah Puspita, M.Ak",1983-02-05,+62 (0632) 302-2959,"Gg. Antapani Lama No. 264
Salatiga, Sumatera Selatan 29056"
277,pat75655716,Tgk. Anastasia Hasanah,1998-07-20,+62-51-296-1959,"Jl. Pasirkoja No. 680
Parepare, Kalimantan Barat 65202"
278,pat24687294,R. Emin Prabowo,1990-02-23,+62 (0275) 752 7561,"Jl. Veteran No. 25
Tanjungpinang, Kalimantan Barat 64979"
279,pat07406508,Yahya Winarsih,1996-10-30,0850568452,"Jalan Cikutra Barat No. 57
Medan, LA 15365"
280,pat18206975,Elisa Kuswandari,1993-02-19,+62-360-853-7956,"Jl. Sadang Serang No. 6
Tegal, PB 96566"
281,pat47769168,Kayla Purnawati,1996-06-24,+62 (274) 427 8934,"Gg. Pasir Koja No. 39
Banda Aceh, Papua 18574"
282,pat03635605,Hesti Utami,1980-01-01,(0370) 531 5067,"Gang Jend. A. Yani No. 4
Padangpanjang, JA 31894"
283,pat10983911,Rika Hastuti,1999-11-10,+62-97-111-3415,"Jl. Dipenogoro No. 5
Subulussalam, AC 11111"
284,pat64065182,"R. Rusman Utama, S.Pd",1988-09-09,(081) 295 9690,"Jl. Kiaracondong No. 58
Madiun, GO 48965"
285,pat80008200,Azalea Wibisono,1980-01-02,+62-0765-906-5276,"Gg. Sukajadi No. 430
Palangkaraya, Kalimantan Selatan 30567"
286,pat66260646,"Timbul Rahimah, M.Ak",1999-11-19,086 466 4246,"Jl. Ir. H. Djuanda No. 546
Tegal, Sulawesi Tengah 99281"
287,pat27232606,Atmaja Maulana,1990-04-02,+62 (0290) 757 5129,"Jl. Pasteur No. 1
Bogor, BA 02895"
288,pat61414907,H. Umaya Prakasa,1992-10-08,(029) 587-2121,"Gang Kiaracondong No. 05
Padang, Jambi 40267"
289,pat06524494,"dr. Dono Napitupulu, M.Pd",1989-08-31,+62 (20) 054 6967,"Gang Pasteur No. 49
Payakumbuh, MU 26002"
290,pat72229811,Sutan Ega Utama,1998-03-20,+62 (16) 639-9812,"Gg. M.H Thamrin No. 00
Sungai Penuh, SU 79617"
291,pat74123612,Sarah Januar,1994-11-07,+62 (0824) 176-2658,"Jalan Asia Afrika No. 001
Bekasi, Kalimantan Timur 55829"
292,pat10404959,Tira Lestari,2000-10-21,+62-646-925-0862,"Gg. Setiabudhi No. 2
Pekalongan, Jawa Timur 00428"
293,pat37457952,H. Ganjaran Gunarto,1987-02-24,+62 (810) 083 1130,"Gang R.E Martadinata No. 9
Pagaralam, Lampung 58235"
294,pat91171191,Tgk. Bakijan Siregar,1982-04-30,(061) 435 0782,"Gang K.H. Wahid Hasyim No. 9
Probolinggo, PB 25124"
295,pat58598658,"Surya Wibowo, S.E.",1995-03-30,+62 (0344) 619-9330,"Jalan BKR No. 89
Cilegon, RI 84714"
296,pat17509473,"R. Kiandra Yuliarti, S.Pt",1992-04-25,+62 (072) 476 5299,"Jalan Suniaraja No. 3
Tarakan, LA 43552"
297,pat96647844,drg. Ega Pradipta,1995-05-13,+62 (118) 124-7420,"Jl. Moch. Ramdan No. 16
Banda Aceh, SU 47667"
298,pat87412185,Estiono Prasasta,1990-02-25,+62 (0885) 051-0152,"Jalan Otto Iskandardinata No. 2
Meulaboh, ST 13945"
299,pat08045737,Rangga Namaga,1991-12-30,+62 (658) 230-9216,"Gang HOS. Cokroaminoto No. 39
Manado, KR 19023"
300,pat86271301,"Faizah Halimah, S.E.",1991-09-10,+62 (0766) 465 0899,"Jalan Surapati No. 443
Sawahlunto, Sulawesi Tenggara 09368"
301,pat49957235,"Gatra Hassanah, M.M.",1986-02-07,080 863 2771,"Gang BKR No. 3
Ambon, Sulawesi Tengah 85991"
302,pat73427179,Patricia Pudjiastuti,1999-12-17,+62 (051) 130 5831,"Jl. Kutai No. 5
Pematangsiantar, Kalimantan Barat 92182"
303,pat77997579,Safina Purnawati,1987-12-26,+62 (087) 777-3547,"Gang KH Amin Jasuta No. 96
Cimahi, Papua Barat 41006"
304,pat71280301,"Puti Gilda Mansur, S.H.",1996-03-26,(043) 034 4795,"Gg. Peta No. 56
Jambi, Sumatera Utara 39840"
305,pat65318836,"Dr. Karen Narpati, S.Psi",1999-07-18,(0065) 183-1477,"Gang Waringin No. 034
Yogyakarta, PA 91714"
306,pat91600769,"Drs. Rafi Najmudin, S.Ked",1985-08-26,+62 (0440) 291 6377,"Gg. Wonoayu No. 39
Semarang, Kepulauan Bangka Belitung 03026"
307,pat32043365,"Hj. Padmi Wasita, S.Pt",1992-02-12,+62-592-181-7337,"Jl. Suryakencana No. 3
Yogyakarta, Sulawesi Tengah 68964"
308,pat47365681,Cayadi Hutasoit,1988-10-16,(059) 052-2410,"Gg. Pasirkoja No. 85
Balikpapan, Sulawesi Tenggara 86368"
309,pat17315906,Indah Winarno,1987-09-26,(0344) 737-7045,"Jl. Jamika No. 556
Sibolga, BT 90427"
310,pat99936181,Hj. Paulin Mulyani,2000-08-18,(074) 765 5437,"Jl. Kutisari Selatan No. 0
Tangerang Selatan, Sumatera Utara 53109"
311,pat53660572,Makuta Putra,1980-05-17,(075) 307-1624,"Jalan Kutai No. 326
Tual, SS 18325"
312,pat18330373,"Jessica Ardianto, S.E.I",1988-12-19,+62 (86) 183-7264,"Jalan Pacuan Kuda No. 702
Surakarta, SN 89406"
313,pat68609245,Febi Maryati,1982-05-10,+62 (097) 331 0519,"Jl. Asia Afrika No. 69
Batam, Kalimantan Utara 34753"
314,pat15221476,Zulaikha Purwanti,1983-01-28,+62 (098) 415 8985,"Jl. Merdeka No. 2
Surabaya, Papua 86862"
315,pat43707386,"Oni Pratama, S.Psi",1988-03-05,+62 (0938) 354 5240,"Jl. Dr. Djunjunan No. 5
Tarakan, Sumatera Selatan 13278"
316,pat65484029,Intan Simanjuntak,1980-03-02,+62-069-218-2914,"Gg. S. Parman No. 489
Singkawang, Nusa Tenggara Barat 59067"
317,pat63886863,Laswi Marbun,1980-09-07,+62-23-690-1410,"Gang Jakarta No. 4
Malang, Bengkulu 49228"
318,pat70781946,Dt. Lega Puspasari,1999-09-12,+62 (05) 326 9785,"Gang Cikapayang No. 781
Cirebon, Sulawesi Selatan 56327"
319,pat47488915,Yuni Hutagalung,1990-07-16,+62-037-533-0606,"Gang Dipenogoro No. 0
Pekalongan, PB 61143"
320,pat01032529,Dasa Uyainah,1999-08-21,+62-852-401-9639,"Gg. KH Amin Jasuta No. 50
Mataram, BT 63827"
321,pat66347026,Arsipatra Nasyiah,1984-06-09,+62 (805) 841 3190,"Gg. Bangka Raya No. 8
Bima, Kalimantan Barat 70102"
322,pat95310848,Tgk. Septi Kusumo,1982-01-10,+62 (0885) 395-1276,"Jl. Gedebage Selatan No. 5
Batu, Gorontalo 79688"
323,pat74616466,"Dr. Panji Wibisono, S.Kom",1998-08-27,+62-081-900-3509,"Jl. Rajawali Barat No. 87
Lhokseumawe, JA 66444"
324,pat13531690,Aris Suwarno,1981-11-11,+62 (490) 257-4838,"Jalan Setiabudhi No. 4
Medan, Jawa Timur 20981"
325,pat41328149,Gatra Suwarno,1994-01-17,+62 (060) 033 3676,"Jalan Abdul Muis No. 4
Bontang, JK 37414"
326,pat25350456,Bahuraksa Sitorus,2000-02-23,+62 (796) 293 8748,"Jl. Monginsidi No. 858
Mataram, Sumatera Barat 16513"
327,pat31333061,Jagapati Mandasari,1996-02-02,+62 (0471) 604-0669,"Gang Ciumbuleuit No. 63
Bau-Bau, Banten 32893"
328,pat01866018,"drg. Asirwada Waluyo, S.Farm",1986-05-06,+62 (73) 012 2007,"Jl. Ronggowarsito No. 053
Probolinggo, NB 73079"
329,pat65789896,Daniswara Maryati,1995-10-26,(0619) 579 2944,"Gg. Lembong No. 1
Solok, SB 35603"
330,pat80065586,Ajimat Manullang,1990-01-29,+62 (076) 913 4755,"Jalan Suniaraja No. 276
Purwokerto, DI Yogyakarta 40258"
331,pat97592266,Maimunah Januar,1994-04-07,(083) 435 6856,"Jalan Raya Setiabudhi No. 70
Prabumulih, JK 71763"
332,pat81945443,"Dr. Ghaliyati Rahayu, S.I.Kom",1982-08-26,+62 (821) 625 1741,"Gg. Astana Anyar No. 84
Sabang, PB 20381"
333,pat91478351,"R. Harja Mansur, M.TI.",1989-10-08,0897972737,"Jl. Cihampelas No. 723
Tidore Kepulauan, SU 39949"
334,pat31374842,Ika Uwais,1980-02-28,+62 (93) 838-3343,"Gg. Rajawali Timur No. 089
Tomohon, JT 28023"
335,pat26128634,Gawati Hutapea,1981-05-20,+62 (0122) 788-0986,"Gg. Rungkut Industri No. 802
Kota Administrasi Jakarta Pusat, BA 48151"
336,pat14336904,"Cut Wani Saptono, S.Pt",1989-11-08,(0859) 199 1801,"Jl. Jakarta No. 615
Surakarta, MU 54711"
337,pat67863389,"R.M. Kuncara Kusumo, M.M.",1980-06-04,+62 (048) 825 8663,"Jalan Raya Setiabudhi No. 03
Gorontalo, PA 95491"
338,pat73695844,Paramita Mustofa,1985-10-05,+62 (44) 990-9237,"Gg. Wonoayu No. 750
Jambi, PB 72857"
339,pat75519544,Rachel Fujiati,1994-01-27,+62 (97) 295 3314,"Jalan Jakarta No. 825
Bontang, ST 01011"
340,pat25930115,Elvina Firgantoro,1995-02-26,+62 (10) 249-1030,"Jalan K.H. Wahid Hasyim No. 44
Purwokerto, BA 18475"
341,pat71360515,Ibrani Zulaika,1985-10-16,(025) 686 4435,"Jl. Indragiri No. 0
Mataram, Kalimantan Barat 17810"
342,pat79410120,"Sutan Halim Sudiati, S.I.Kom",1994-08-15,(077) 089 8233,"Jalan W.R. Supratman No. 808
Salatiga, Jawa Tengah 98279"
343,pat88221663,"KH. Karja Nababan, M.Farm",1988-12-23,+62 (92) 661-1759,"Gg. Ronggowarsito No. 207
Semarang, LA 35486"
344,pat40536750,dr. Yahya Maulana,1992-06-25,+62-13-854-2527,"Gg. Pacuan Kuda No. 88
Tomohon, Aceh 60528"
345,pat67937240,Wage Pratiwi,1982-07-27,+62 (025) 538 0529,"Gang Gedebage Selatan No. 69
Banjar, SU 47198"
346,pat15874238,"Titi Prayoga, M.TI.",1980-07-30,+62 (29) 032 5146,"Jalan Cikapayang No. 050
Denpasar, AC 93539"
347,pat14388279,Okta Yuniar,1999-02-21,(0661) 748 4003,"Gang Monginsidi No. 0
Tidore Kepulauan, Nusa Tenggara Barat 71788"
348,pat00986748,Janet Thamrin,1983-02-20,085 965 2239,"Gang Kapten Muslihat No. 86
Bima, Sulawesi Utara 18932"
349,pat34339534,"Olivia Hutagalung, S.Gz",1984-01-24,0892908596,"Gang Wonoayu No. 428
Makassar, Kalimantan Selatan 02870"
350,pat87842920,Ajeng Padmasari,1995-04-03,(0254) 101-1927,"Gg. Ahmad Dahlan No. 868
Padang, Riau 96274"
351,pat26359564,Hendra Rahayu,1982-07-01,+62-44-035-5971,"Jl. Ciwastra No. 2
Tarakan, Sumatera Barat 92895"
352,pat01722338,Aditya Pranowo,1982-04-14,+62-0780-535-3368,"Gang Otto Iskandardinata No. 4
Sabang, Aceh 68916"
353,pat77490780,Nyoman Oktaviani,1983-07-14,+62 (054) 529 7876,"Jalan Cihampelas No. 5
Padang, Jawa Timur 32738"
354,pat50308477,Dr. Rahayu Simbolon,1990-01-11,(031) 910 5577,"Jalan Astana Anyar No. 01
Gorontalo, ST 09309"
355,pat57266077,Pranata Nasyiah,1982-07-18,+62 (082) 231-7643,"Jl. PHH. Mustofa No. 172
Pagaralam, Gorontalo 52793"
356,pat85974821,Zaenab Nugroho,1996-11-04,+62 (0510) 008 5816,"Gang Ciwastra No. 3
Kota Administrasi Jakarta Timur, Papua 68079"
357,pat35124290,Kamidin Kusmawati,1981-10-08,+62 (89) 947 1452,"Jl. M.T Haryono No. 406
Batu, Lampung 11691"
358,pat69558153,"Taufik Widodo, M.M.",1983-02-13,0835310899,"Gg. Rungkut Industri No. 50
Makassar, Papua 28854"
359,pat87009859,Dt. Rahman Namaga,1993-07-21,+62 (15) 381 6410,"Gg. Jend. Sudirman No. 99
Binjai, SU 28898"
360,pat62559317,"Parman Lailasari, M.M.",1991-04-01,+62 (405) 040-5512,"Jalan Indragiri No. 8
Serang, Nusa Tenggara Timur 32842"
361,pat31680745,Cinta Lailasari,2000-08-10,+62 (0648) 975 0825,"Gang Sentot Alibasa No. 6
Bandung, Sulawesi Barat 49749"
362,pat83502705,Yuliana Safitri,1994-03-11,+62 (042) 638-2077,"Gg. Suniaraja No. 780
Palangkaraya, Riau 37733"
363,pat47618251,T. Jinawi Saefullah,1983-06-07,+62 (574) 541-5418,"Gang Moch. Ramdan No. 352
Parepare, Gorontalo 37713"
364,pat70969566,Limar Budiman,1996-11-14,+62 (29) 634-6785,"Jalan Pacuan Kuda No. 89
Solok, SU 60239"
365,pat87475807,"R.M. Pardi Hasanah, S.T.",1985-09-30,+62 (0261) 113-2636,"Gg. Pelajar Pejuang No. 3
Bau-Bau, Sulawesi Tengah 81402"
366,pat33815701,Danang Putra,1994-03-23,+62 (0550) 447-2727,"Jl. BKR No. 472
Gorontalo, JT 46995"
367,pat59583639,Tira Sitorus,1992-12-27,+62-060-566-3554,"Gg. K.H. Wahid Hasyim No. 208
Palembang, KI 78647"
368,pat52956195,"Zulfa Mangunsong, S.Kom",1985-06-08,+62-026-080-7177,"Gang Cihampelas No. 1
Subulussalam, BA 95353"
369,pat82735838,Carub Hidayanto,1999-02-23,+62 (015) 335 6670,"Gg. Jend. Sudirman No. 740
Banjarbaru, LA 83485"
370,pat24633635,"Hj. Silvia Mustofa, M.Pd",1988-04-30,(0836) 320 3168,"Gang PHH. Mustofa No. 0
Parepare, KT 05452"
371,pat62373913,"Ir. Umi Kusumo, M.Ak",1983-04-07,(051) 758 7772,"Jl. Cihampelas No. 87
Sibolga, ST 72389"
372,pat27031247,Dt. Prima Suryatmi,1987-07-18,+62 (93) 453 2444,"Jalan Sentot Alibasa No. 3
Sorong, BA 71437"
373,pat27538647,Carub Hassanah,1980-09-12,(0904) 424 5739,"Jl. Sadang Serang No. 238
Kendari, BT 35701"
374,pat70223446,Cahyo Sinaga,1980-09-09,081 991 3830,"Gang Setiabudhi No. 5
Bima, Maluku Utara 31062"
375,pat97010302,Genta Prasetyo,1981-08-15,(0631) 718-6176,"Jalan Pasir Koja No. 46
Kota Administrasi Jakarta Timur, KT 98778"
376,pat08771742,Yulia Yuliarti,1995-06-01,+62 (980) 901 7585,"Gang Pasir Koja No. 1
Medan, BE 27272"
377,pat70799804,Uchita Mandala,1985-03-09,+62 (634) 403-5684,"Jl. Stasiun Wonokromo No. 235
Bandar Lampung, RI 74988"
378,pat99274450,R. Kenzie Mahendra,1998-06-12,+62-0018-640-2464,"Gang Wonoayu No. 6
Jambi, Bengkulu 90937"
379,pat73267416,"Puti Karimah Mulyani, S.T.",1989-08-19,+62 (0882) 170 3958,"Jl. S. Parman No. 225
Tidore Kepulauan, Papua Barat 57910"
380,pat32430530,Marwata Suryono,1985-10-25,+62-71-217-0144,"Jalan Cihampelas No. 905
Bandung, JB 83202"
381,pat25510522,Drs. Natalia Wijayanti,1990-12-15,(0855) 664-1598,"Gang Pasir Koja No. 4
Serang, DI Yogyakarta 80778"
382,pat63876468,Betania Usada,1993-10-14,+62 (01) 203 0745,"Jl. Jend. A. Yani No. 0
Lubuklinggau, Jawa Timur 25880"
383,pat43867271,R.M. Luluh Namaga,1982-08-14,+62 (022) 185-8002,"Gg. Rungkut Industri No. 1
Denpasar, KB 39115"
384,pat62473231,Panji Lazuardi,1981-01-20,+62-668-560-1001,"Jalan Ciumbuleuit No. 5
Bima, MU 24023"
385,pat26493404,Artanto Puspasari,1995-09-28,(032) 441-5869,"Gg. Jakarta No. 997
Bekasi, Maluku Utara 97189"
386,pat81859085,Paulin Nasyiah,1993-11-03,+62-026-472-0552,"Jalan Moch. Toha No. 00
Tomohon, Gorontalo 32039"
387,pat43106981,Michelle Pratama,2000-04-21,+62 (106) 723-2454,"Gg. Jakarta No. 924
Padang Sidempuan, Maluku Utara 65023"
